,Date
917,1991:10:21:18
918,1991:10:25:0
919,1991:10:25:6
920,1991:10:25:12
921,1991:10:25:18
922,1991:10:26:0
923,1991:10:26:6
924,1991:10:26:12
925,1991:10:26:18
926,1991:10:27:0
927,1991:10:27:6
928,1991:10:27:18
929,1991:10:28:0
930,1991:10:29:0
931,1991:10:29:6
932,1991:10:29:12
933,1991:10:31:0
934,1991:10:31:6
935,1991:11:5:12
936,1991:11:5:18
937,1991:11:6:0
938,1991:11:6:6
939,1991:11:6:12
940,1991:11:6:18
941,1991:11:7:0
942,1991:11:7:12
943,1991:11:7:18
944,1991:11:8:0
945,1991:11:8:6
946,1991:11:8:12
947,1991:11:10:0
948,1991:11:11:0
949,1991:11:11:6
950,1991:11:11:12
951,1991:11:11:18
952,1991:11:12:0
953,1991:11:12:6
954,1991:11:14:6
955,1991:11:14:12
956,1991:11:16:12
957,1991:11:16:18
958,1991:11:17:0
959,1991:11:17:18
960,1991:11:18:0
961,1991:11:19:6
962,1991:11:19:12
963,1991:11:19:18
964,1991:11:20:0
965,1991:11:20:6
966,1991:11:20:12
967,1991:11:20:18
968,1991:11:23:12
969,1991:11:23:18
970,1991:11:24:0
971,1991:11:24:6
972,1991:11:24:12
973,1991:11:24:18
974,1991:11:25:0
975,1991:11:25:6
976,1991:11:25:12
977,1991:11:25:18
978,1991:11:26:0
979,1991:11:26:12
980,1991:11:26:18
981,1991:11:27:0
982,1991:11:30:12
983,1991:11:30:18
984,1991:12:1:0
985,1991:12:2:0
986,1991:12:2:12
987,1991:12:3:0
988,1991:12:3:6
989,1991:12:3:12
990,1991:12:3:18
991,1991:12:4:6
992,1991:12:4:12
993,1991:12:4:18
994,1991:12:5:6
995,1991:12:5:12
996,1991:12:5:18
997,1991:12:6:0
998,1991:12:6:6
999,1991:12:8:0
1000,1991:12:8:6
1001,1991:12:8:12
1002,1991:12:9:0
1003,1991:12:9:6
1004,1991:12:9:12
1005,1991:12:9:18
1006,1991:12:11:0
1007,1991:12:11:6
1008,1991:12:11:12
1009,1991:12:11:18
1010,1991:12:12:6
1011,1991:12:12:12
1012,1991:12:18:0
1013,1991:12:18:6
1014,1991:12:21:0
1015,1991:12:21:6
1016,1991:12:21:12
1017,1991:12:21:18
1018,1991:12:24:12
1019,1991:12:25:18
1020,1991:12:26:0
1021,1991:12:26:12
1022,1991:12:26:18
1023,1991:12:27:0
1024,1991:12:27:6
1025,1991:12:27:12
1026,1991:12:27:18
1027,1991:12:28:0
1028,1991:12:28:6
1029,1991:12:29:0
1030,1991:12:29:6
1031,1991:12:29:12
1032,1992:1:1:0
1033,1992:1:1:12
1034,1992:1:1:18
1035,1992:1:2:0
1036,1992:1:3:6
1037,1992:1:3:6
1038,1992:1:3:12
1039,1992:1:3:12
1040,1992:1:3:18
1041,1992:1:5:0
1042,1992:1:5:6
1043,1992:1:7:18
1044,1992:1:9:0
1045,1992:1:9:6
1046,1992:1:9:12
1047,1992:1:9:18
1048,1992:1:10:0
1049,1992:1:10:6
1050,1992:1:15:12
1051,1992:1:15:18
1052,1992:1:16:0
1053,1992:1:16:6
1054,1992:1:16:12
1055,1992:1:22:18
1056,1992:1:23:0
1057,1992:1:23:6
1058,1992:1:23:12
1059,1992:1:23:18
1060,1992:1:24:0
1061,1992:1:24:6
1062,1992:1:24:12
1063,1992:1:24:18
1064,1992:1:25:0
1065,1992:1:25:6
1066,1992:1:27:0
1067,1992:1:28:12
1068,1992:1:29:0
1069,1992:1:29:6
1070,1992:1:29:12
1071,1992:1:29:18
1072,1992:1:30:0
1073,1992:1:30:6
1074,1992:1:30:12
1075,1992:1:30:18
1076,1992:1:31:0
1077,1992:1:31:6
1078,1992:1:31:12
1079,1992:1:31:18
1080,1992:2:1:0
1081,1992:2:2:12
1082,1992:2:2:18
1083,1992:2:3:0
1084,1992:2:3:6
1085,1992:2:3:12
1086,1992:2:6:0
1087,1992:2:6:6
1088,1992:2:6:12
1089,1992:2:6:18
1090,1992:2:7:0
1091,1992:2:7:6
1092,1992:2:8:18
1093,1992:2:9:0
1094,1992:2:9:6
1095,1992:2:9:12
1096,1992:2:9:18
1097,1992:2:10:0
1098,1992:2:10:6
1099,1992:2:10:12
1100,1992:2:10:18
1101,1992:2:11:0
1102,1992:2:11:6
1103,1992:2:11:12
1104,1992:2:12:0
1105,1992:2:12:6
1106,1992:2:12:12
1107,1992:2:12:12
1108,1992:2:12:18
1109,1992:2:12:18
1110,1992:2:13:0
1111,1992:2:13:6
1112,1992:2:13:12
1113,1992:2:14:12
1114,1992:2:19:18
1115,1992:2:20:0
1116,1992:2:20:6
1117,1992:2:23:18
1118,1992:2:24:0
1119,1992:2:24:6
1120,1992:2:24:12
1121,1992:3:1:0
1122,1992:3:1:6
1123,1992:3:2:6
1124,1992:3:2:12
1125,1992:3:2:18
1126,1992:3:3:0
1127,1992:3:5:0
1128,1992:3:14:0
1129,1992:3:14:6
1130,1992:3:20:0
1131,1992:3:20:6
1132,1992:3:20:12
1133,1992:3:20:18
1134,1992:3:21:0
1135,1992:3:27:0
1136,1992:3:27:6
1137,1992:3:27:12
1138,1992:3:30:0
1139,1992:3:30:6
1140,1992:9:8:6
1141,1992:9:8:12
1142,1992:9:8:18
1143,1992:9:9:6
1144,1992:9:18:18
1145,1992:9:19:0
1146,1992:9:19:12
1147,1992:9:23:6
1148,1992:9:23:12
1149,1992:9:23:18
1150,1992:9:24:0
1151,1992:9:24:12
1152,1992:9:24:18
1153,1992:9:25:0
1154,1992:9:25:6
1155,1992:9:25:12
1156,1992:9:25:18
1157,1992:9:26:0
1158,1992:9:26:6
1159,1992:9:26:12
1160,1992:9:26:18
1161,1992:9:28:18
1162,1992:9:29:18
1163,1992:9:30:0
1164,1992:10:1:6
1165,1992:10:1:12
1166,1992:10:1:18
1167,1992:10:8:6
1168,1992:10:8:18
1169,1992:10:9:6
1170,1992:10:9:12
1171,1992:10:9:18
1172,1992:10:10:6
1173,1992:10:10:12
1174,1992:10:10:18
1175,1992:10:11:0
1176,1992:10:12:6
1177,1992:10:12:12
1178,1992:10:13:0
1179,1992:10:13:6
1180,1992:10:18:0
1181,1992:10:18:6
1182,1992:10:18:12
1183,1992:10:18:18
1184,1992:10:19:6
1185,1992:10:19:12
1186,1992:10:19:18
1187,1992:10:20:0
1188,1992:10:20:6
1189,1992:10:20:12
1190,1992:10:20:18
1191,1992:10:21:0
1192,1992:10:21:6
1193,1992:10:21:12
1194,1992:10:22:12
1195,1992:10:22:18
1196,1992:10:23:0
1197,1992:10:23:6
1198,1992:10:23:12
1199,1992:10:23:18
1200,1992:10:24:0
1201,1992:10:24:6
1202,1992:10:24:12
1203,1992:10:29:18
1204,1992:10:29:18
1205,1992:10:30:0
1206,1992:10:30:6
1207,1992:10:30:12
1208,1992:10:30:18
1209,1992:10:31:0
1210,1992:10:31:6
1211,1992:10:31:12
1212,1992:10:31:18
1213,1992:11:1:0
1214,1992:11:2:12
1215,1992:11:2:18
1216,1992:11:3:0
1217,1992:11:3:6
1218,1992:11:3:12
1219,1992:11:3:18
1220,1992:11:4:0
1221,1992:11:4:6
1222,1992:11:4:12
1223,1992:11:4:18
1224,1992:11:5:0
1225,1992:11:5:6
1226,1992:11:5:12
1227,1992:11:5:18
1228,1992:11:6:0
1229,1992:11:6:6
1230,1992:11:6:12
1231,1992:11:6:18
1232,1992:11:7:0
1233,1992:11:7:6
1234,1992:11:19:0
1235,1992:11:19:6
1236,1992:11:19:12
1237,1992:11:19:18
1238,1992:11:20:0
1239,1992:11:21:6
1240,1992:11:21:12
1241,1992:11:21:18
1242,1992:11:22:0
1243,1992:11:22:6
1244,1992:11:25:0
1245,1992:11:26:6
1246,1992:11:26:12
1247,1992:11:26:18
